Qualtiy,Exchange rate,Price
1," 1,177.86 ",210
1," 1,185.29 ",220
1," 1,185.15 ",215
1," 1,181.07 ",225
1," 1,196.34 ",250
1," 1,213.93 ",300
1," 1,217.12 ",300
1," 1,217.09 ",270
1," 1,217.52 ",280
1," 1,218.09 ",270
1," 1,213.27 ",275
1," 1,199.09 ",270
1," 1,197.57 ",300
1," 1,196.65 ",320
1," 1,181.99 ",350
1," 1,170.84 ",350
1," 1,165.01 ",325
1," 1,146.00 ",400
1," 1,112.71 ",500
1," 1,047.22 ",600
1," 1,079.22 ",650
1," 1,007.03 ",650
1, 965.71 ,700
1, 962.59 ,650
1, 967.07 ,950
1, 921.38 ,"1,100"
1, 920.79 ,"1,000"
1, 919.78 ,750
1, 920.14 ,825
1, 929.75 ,800
1, 925.04 ,850
1, 925.53 ,900
1, 927.04 ,800
1, 928.83 ,775
1, 941.02 ,825
1, 964.81 ,900
1, 968.93 ,950
1, 970.03 ,900
1, 977.70 ,750
1," 1,043.38 ",725
1," 1,028.30 ",825
1," 1,023.25 ",718
1," 1,017.72 ",600
1," 1,022.37 ",700
1," 1,016.60 ",700
1," 1,013.56 ",650
1," 1,018.00 ",600
1," 1,041.36 ",550
1," 1,055.44 ",500
1," 1,067.44 ",450
1," 1,074.97 ",500
1," 1,105.05 ",450
1," 1,081.48 ",400
1," 1,030.35 ",350
1," 1,044.85 ",550
1," 1,033.11 ",650
1," 1,024.95 ",600
1," 1,046.46 ",700
1," 1,065.30 ",800
1," 1,067.59 ",625
1," 1,068.02 ",600
1," 1,098.17 ",550
1," 1,117.12 ",600
1," 1,140.40 ",550
1," 1,147.19 ",600
1," 1,142.94 ",650
1," 1,148.07 ",725
1," 1,152.52 ",750
1," 1,152.39 ",780
1," 1,174.51 ",860
1," 1,223.48 ",845
1," 1,231.02 ",725
1," 1,235.02 ",650
1," 1,244.37 ",700
1," 1,284.84 ",750
1," 1,314.19 ",600
1," 1,353.82 ",620
1," 1,368.44 ",600
1," 1,369.21 ",630
1," 1,377.35 ",650
1," 1,381.16 ",615
1," 1,449.73 ",625
1," 1,518.97 ",575
1," 1,447.22 ",500
1," 1,454.51 ",575
1," 1,463.40 ",710
1," 1,491.67 ",700
1," 1,507.80 ",625
1," 1,503.54 ",625
1," 1,502.47 ",600
1," 1,525.75 ",525
1," 1,519.43 ",600
1," 1,513.68 ",400
1," 1,525.86 ",350
1," 1,579.67 ",350
1," 1,565.57 ",375
1," 1,596.42 ",425
1," 1,676.30 ",375
1," 1,770.51 ",425
1," 1,826.59 ",300
1," 1,850.26 ",300
1," 1,783.67 ",300
1," 1,830.44 ",325
1," 1,742.97 ",300
1," 1,753.79 ",325
1," 1,773.82 ",265
1," 1,782.68 ",280
1," 1,767.64 ",265
1," 1,725.74 ",200
1," 1,750.61 ",150
1," 1,752.90 ",150
1," 1,737.69 ",165
1," 1,736.22 ",165
1," 1,713.41 ",165
1," 1,738.74 ",190
1," 1,741.44 ",240
1," 1,771.03 ",200
1," 1,792.19 ",325
1," 1,797.59 ",330
1," 1,797.17 ",310
1," 1,802.83 ",300
1," 1,805.83 ",255
1," 1,812.64 ",300
1," 1,827.20 ",280
1," 1,832.32 ",525
1," 1,845.01 ",550
1," 1,867.69 ",600
1," 1,883.78 ",530
1," 1,944.45 ",600
1," 1,976.53 ",600
1," 1,997.85 ",575
1," 1,998.23 ",500
1," 1,995.28 ",500
1," 1,998.49 ",537
1," 1,993.55 ",525
1," 1,990.46 ",525
1," 1,974.49 ",425
1," 1,973.15 ",500
1," 1,938.16 ",600
1," 1,865.06 ",500
1," 1,926.65 ",600
1," 1,971.78 ",575
1," 1,851.00 ",500
1," 1,816.52 ",500
1," 1,748.26 ",450
1," 1,731.51 ",430
1," 1,721.17 ",425
1," 1,735.44 ",375
1," 1,730.89 ",375
1," 1,738.02 ", 475 
1," 1,732.01 ", 450 
1," 1,711.07 ", 525 
1," 1,711.23 ", 620 
1," 1,777.68 ", 675 
1," 1,775.62 ", 850 
1," 1,738.32 ", 850 
1," 1,752.12 ", 850 
1," 1,814.86 ", 650 
1," 1,844.67 ", 600 
1," 1,856.80 ",775
1," 1,834.54 ",975
1," 1,816.13 ","1,000"
1," 1,819.12 "," 1,000 "
1," 1,815.84 ", 900 
1," 1,820.00 ", 675 
1," 1,827.48 ", 700 
1," 1,836.34 ",700
1," 1,859.95 ",850
1," 1,857.72 ",700
1," 1,847.74 ",850
1," 1,854.68 ", 850 
1," 1,843.43 "," 1,025 "
1," 1,818.85 ", 950 
1," 1,775.33 ", 950 
1," 1,792.28 "," 1,025 "
1," 1,751.68 "," 1,000 "
1," 1,750.68 "," 1,000 "
1," 1,728.89 ",850
1," 1,695.15 ",900
1," 1,643.57 "," 1,000 "
1," 1,652.87 "," 1,200 "
1," 1,737.43 "," 1,100 "
1," 1,762.83 "," 1,100 "
1," 1,747.17 "," 1,200 "
1," 1,707.73 "," 1,250 "
1," 1,747.17 "," 1,200 "
1," 1,710.59 "," 1,250 "
1," 1,707.34 "," 1,530 "
1," 1,683.74 "," 1,275 "
1," 1,686.68 "," 1,375 "
1," 1,647.68 "," 1,275 "
1," 1,600.74 "," 1,375 "
1," 1,633.94 ","1,300"
1," 1,623.62 "," 1,350 "
1," 1,645.01 "," 1,275 "
1," 1,838.66 ", 975 
1," 1,910.13 "," 1,025 "
1," 1,956.19 "," 1,000 "
1," 1,975.97 "," 1,180 "
1," 1,965.45 "," 1,350 "
1," 2,059.21 "," 1,000 "
1," 2,175.61 "," 1,050 "
1," 2,247.68 "," 1,100 "
1," 2,137.18 ", 950 
1," 2,110.77 ", 950 
1," 2,071.67 ", 900 
1," 1,961.90 ", 800 
1," 1,898.28 "," 1,050 "
1," 1,873.78 "," 1,000 "
1," 1,896.64 ", 850 
1," 1,935.63 "," 1,150 "
1," 1,996.54 "," 1,150 "
1," 2,086.37 "," 1,100 "
1," 2,083.00 ", 950 
1," 2,147.60 "," 1,200 "
1," 2,257.44 "," 1,400 "
1," 2,257.29 "," 1,500 "
1," 2,230.94 "," 1,500 "
1," 2,251.30 "," 1,300 "
1," 2,264.84 "," 1,450 "
1," 2,288.87 "," 1,500 "
1," 2,251.30 "," 1,850 "
1," 2,333.14 "," 1,950 "
1," 2,340.91 "," 1,800 "
1," 2,393.31 "," 1,500 "
1," 2,367.59 "," 1,900 "
1," 2,387.70 "," 2,000 "
1," 2,461.01 "," 1,900 "
1," 2,587.23 "," 2,250 "
1," 2,753.23 "," 2,250 "
1," 2,814.02 "," 2,250 "
1," 2,805.32 "," 2,250 "
1," 2,582.18 "," 2,100 "
1," 2,461.19 "," 2,100 "
1," 2,414.19 "," 1,900 "
1," 2,327.97 "," 1,900 "
1,"2,485.02"," 1,500 "
1," 2,506.21 "," 1,600 "
1," 2,479.05 "," 1,500 "
1," 2,484.36 "," 1,500 "
1," 2,474.47 "," 1,750 "
1," 2,492.04 "," 2,000 "
1," 2,515.88 "," 2,000 "
1," 2,579.43 "," 2,150 "
1," 2,622.95 "," 2,250 "
1," 2,673.48 "," 2,100 "
1," 2,683.79 "," 1,800 "
1," 2,657.55 "," 2,000 "
1," 2,636.90 "," 2,250 "
1," 2,578.01 "," 2,230 "
1,"2,586.11"," 2,250 "
1,"2,593.08"," 1,900 "
1,"2,588.90"," 1,900 "
1,"2,578.87"," 1,900 "
1,"2,568.86"," 1,900 "
1," 2,534.39 "," 1,400 "
1," 2,523.00 "," 1,400 "
1," 2,512.14 "," 1,250 "
1," 2,499.90 "," 1,400 "
1," 2,471.96 "," 1,550 "
1," 2,534.20 "," 1,600 "
1," 2,529.80 "," 1,700 "
1," 2,532.40 "," 1,350 "
1," 2,580.96 "," 1,600 "
1," 2,633.50 "," 2,150 "
1," 2,612.50 "," 2,100 "
1," 2,618.80 "," 2,350 "
1," 2,680.51 "," 2,350 "
1," 2,734.20 "," 2,150 "
1," 2,768.80 "," 2,100 "
1," 2,860.70 "," 2,100 "
1," 2,868.58 "," 2,100 "
1," 2,951.74 "," 1,900 "
1," 2,995.60 "," 2,100 "
1," 3,007.60 "," 2,200 "
1," 3,199.90 "," 2,250 "
1," 3,360.09 "," 2,200 "
1," 3,548.25 "," 2,200 "
1," 3,667.50 "," 2,150 "
